Date,Price,Open,High,Low,Vol.,Change %
"Sep 03, 2008",2333.73,2346.81,2357.43,2320.91,809.73M,-0.66%
"Sep 02, 2008",2349.24,2402.11,2413.11,2338.37,723.16M,-0.77%
"Aug 29, 2008",2367.52,2388.67,2393.49,2360.91,595.46M,-1.83%
"Aug 28, 2008",2411.64,2390.11,2412.84,2388.55,575.25M,1.22%
"Aug 27, 2008",2382.46,2362.86,2395.02,2358.93,561.56M,0.87%
"Aug 26, 2008",2361.97,2364.31,2377.04,2345.79,543.66M,-0.15%
"Aug 25, 2008",2365.59,2399.73,2399.73,2362.2,536.76M,-2.03%
"Aug 22, 2008",2414.71,2390.34,2417.63,2390.34,512.93M,1.44%
"Aug 21, 2008",2380.38,2371.54,2387.72,2360.39,558.38M,-0.36%
"Aug 20, 2008",2389.08,2396.58,2408.68,2372.34,642.26M,0.20%
"Aug 19, 2008",2384.36,2404.95,2410.96,2376.67,649.10M,-1.35%
"Aug 18, 2008",2416.98,2456.96,2456.96,2404.41,604.66M,-1.45%
"Aug 15, 2008",2452.52,2463.1,2473.2,2441.05,718.69M,-0.05%
"Aug 14, 2008",2453.67,2414.41,2461.15,2414.41,670.22M,1.03%
"Aug 13, 2008",2428.62,2424.32,2443.44,2404.03,740.98M,-0.08%
"Aug 12, 2008",2430.61,2434.26,2447.16,2421.09,774.18M,-0.38%
"Aug 11, 2008",2439.95,2407.55,2461.65,2402.53,824.96M,1.07%
"Aug 08, 2008",2414.1,2356.84,2416.4,2352.04,815.61M,2.48%
"Aug 07, 2008",2355.73,2362.79,2386.44,2351.32,842.29M,-0.95%
"Aug 06, 2008",2378.37,2349.17,2385.77,2333.53,844.57M,1.21%
"Aug 05, 2008",2349.83,2308.14,2349.83,2303.63,869.09M,2.81%
"Aug 04, 2008",2285.56,2309.75,2309.75,2280.93,734.74M,-1.10%
"Aug 01, 2008",2310.96,2326.83,2328.95,2286.41,797.46M,-0.63%
"Jul 31, 2008",2325.55,2311.33,2353.39,2309.64,895.84M,-0.18%
"Jul 30, 2008",2329.72,2329.01,2342.88,2299.98,858.02M,0.44%
"Jul 29, 2008",2319.62,2274.61,2320.18,2274.37,877.39M,2.45%
"Jul 28, 2008",2264.22,2307.19,2317.75,2258.62,786.74M,-2.00%
"Jul 25, 2008",2310.53,2294.69,2312.6,2282.63,816.59M,1.33%
"Jul 24, 2008",2280.11,2329.21,2329.21,2278.91,1.01B,-1.97%
"Jul 23, 2008",2325.88,2305.11,2350.09,2300.2,1.07B,0.95%
"Jul 22, 2008",2303.96,2256.32,2303.96,2252.84,1.00B,1.07%
"Jul 21, 2008",2279.53,2290.75,2300.32,2270.28,733.44M,-0.14%
"Jul 18, 2008",2282.78,2286.92,2293.18,2269.55,973.10M,-1.28%
"Jul 17, 2008",2312.3,2296.57,2320.77,2274.27,1.07B,1.20%
"Jul 16, 2008",2284.85,2219.27,2284.85,2205.71,987.96M,3.12%
"Jul 15, 2008",2215.71,2197.18,2249.12,2167.29,1.13B,0.13%
"Jul 14, 2008",2212.87,2262.86,2266.44,2207,829.00M,-1.17%
"Jul 11, 2008",2239.08,2233.38,2265.86,2203.25,984.73M,-0.83%
"Jul 10, 2008",2257.85,2239.95,2267.67,2223.04,890.60M,1.03%
"Jul 09, 2008",2234.89,2290.63,2296.03,2234.59,911.33M,-2.60%
"Jul 08, 2008",2294.44,2244.9,2294.44,2233.99,1.00B,2.28%
"Jul 07, 2008",2243.32,2263.69,2276.54,2214.16,972.05M,-0.09%
"Jul 03, 2008",2245.38,2261.74,2262.96,2227.8,564.89M,-0.27%
"Jul 02, 2008",2251.46,2311.57,2317.2,2251.3,992.96M,-2.32%
"Jul 01, 2008",2304.97,2274.24,2306.91,2255.79,1.05B,0.52%
"Jun 30, 2008",2292.98,2312.42,2325.49,2292.98,852.71M,-0.98%
"Jun 27, 2008",2315.63,2319.62,2329.94,2290.59,1.85B,-0.25%
"Jun 26, 2008",2321.37,2365.86,2366.16,2321.37,938.45M,-3.33%
"Jun 25, 2008",2401.26,2376.82,2421.25,2376.29,855.91M,1.39%
"Jun 24, 2008",2368.28,2375.8,2394.86,2352.1,889.92M,-0.73%
"Jun 23, 2008",2385.74,2416.55,2419.69,2384.56,749.81M,-0.85%
"Jun 20, 2008",2406.09,2441.96,2441.96,2394.26,1.23B,-2.27%
"Jun 19, 2008",2462.06,2427.17,2469.15,2412.37,884.88M,1.33%
"Jun 18, 2008",2429.71,2444.96,2449.18,2422.96,808.45M,-1.14%
"Jun 17, 2008",2457.73,2481.2,2483.19,2456.78,718.49M,-0.69%
"Jun 16, 2008",2474.78,2443.13,2479.95,2441.24,776.44M,0.83%
"Jun 13, 2008",2454.5,2423.05,2454.5,2417.01,877.88M,2.09%
"Jun 12, 2008",2404.35,2414.46,2432.88,2388.49,950.30M,0.43%
"Jun 11, 2008",2394.01,2444.94,2446.28,2394.01,857.08M,-2.24%
"Jun 10, 2008",2448.94,2436.75,2466.28,2432.47,832.90M,-0.43%
"Jun 09, 2008",2459.46,2483.22,2485,2429.3,847.41M,-0.61%
"Jun 06, 2008",2474.56,2528.52,2529.97,2474.56,898.88M,-2.96%
"Jun 05, 2008",2549.94,2509.49,2549.94,2504.57,871.86M,1.87%
"Jun 04, 2008",2503.14,2473.03,2518.71,2471.52,892.53M,0.91%
"Jun 03, 2008",2480.48,2500.5,2513.89,2460.56,894.20M,-0.44%
"Jun 02, 2008",2491.53,2514.82,2516.37,2471.41,793.62M,-1.23%
"May 30, 2008",2522.66,2519.14,2530.16,2510.65,932.11M,0.57%
"May 29, 2008",2508.32,2486.09,2522.14,2485.92,793.46M,0.87%
"May 28, 2008",2486.7,2491.5,2493.38,2465.59,761.50M,0.22%
"May 27, 2008",2481.24,2450.52,2482.08,2448.58,725.85M,1.50%
"May 23, 2008",2444.67,2454.14,2456,2430.36,694.16M,-0.81%
"May 22, 2008",2464.58,2454.74,2474.53,2448.84,764.40M,0.67%
"May 21, 2008",2448.27,2497.39,2508.9,2444.99,862.93M,-1.77%
"May 20, 2008",2492.26,2505.86,2506.19,2479.37,810.34M,-0.95%
"May 19, 2008",2516.09,2530.82,2551.47,2505.6,909.74M,-0.50%
"May 16, 2008",2528.85,2537.41,2537.41,2504.18,959.77M,-0.19%
"May 15, 2008",2533.73,2496.44,2535.19,2492.95,868.46M,1.48%
"May 14, 2008",2496.7,2503.28,2528.4,2493.58,806.18M,0.06%
"May 13, 2008",2495.12,2491.02,2498.07,2472.58,788.20M,0.27%
"May 12, 2008",2488.49,2454.65,2490.22,2446.36,704.97M,1.76%
"May 09, 2008",2445.52,2432.55,2455.33,2429.03,652.48M,-0.23%
"May 08, 2008",2451.24,2450.01,2462.51,2436.61,845.25M,0.52%
"May 07, 2008",2438.49,2483.03,2496.65,2435.76,911.61M,-1.80%
"May 06, 2008",2483.31,2455.11,2488.83,2445.37,901.34M,0.78%
"May 05, 2008",2464.12,2475.31,2486.05,2458.12,923.26M,-0.52%
"May 02, 2008",2476.99,2499.14,2499.14,2461.46,910.99M,-0.15%
"May 01, 2008",2480.71,2416.49,2480.71,2416.49,948.23M,2.81%
"Apr 30, 2008",2412.8,2434.2,2451.19,2406.37,933.51M,-0.55%
"Apr 29, 2008",2426.1,2420,2435.38,2412.1,728.32M,0.07%
"Apr 28, 2008",2424.4,2422.63,2437,2416.9,724.64M,0.06%
"Apr 25, 2008",2422.93,2424.68,2427.09,2391.15,834.67M,-0.25%
"Apr 24, 2008",2428.92,2408.25,2447.28,2383.76,952.58M,0.99%
"Apr 23, 2008",2405.21,2391.64,2412.53,2382.77,874.04M,1.19%
"Apr 22, 2008",2376.94,2397.12,2397.17,2361.67,796.78M,-1.29%
"Apr 21, 2008",2408.04,2393.07,2410.97,2389.82,666.47M,0.21%
"Apr 18, 2008",2402.97,2394.52,2412.78,2383.24,948.93M,2.61%
"Apr 17, 2008",2341.83,2347.32,2348.31,2327.66,731.84M,-0.35%
"Apr 16, 2008",2350.11,2313.42,2352.21,2313.42,882.09M,2.80%
"Apr 15, 2008",2286.04,2287.43,2291.12,2266.29,753.08M,0.45%
"Apr 14, 2008",2275.82,2287.02,2296.73,2274.91,653.21M,-0.63%
"Apr 11, 2008",2290.24,2327.7,2328.45,2286.19,780.02M,-2.61%
"Apr 10, 2008",2351.7,2326.78,2363.91,2324.39,892.35M,1.27%
"Apr 09, 2008",2322.12,2351.94,2353.54,2311.45,773.99M,-1.13%
"Apr 08, 2008",2348.76,2353.58,2359.4,2337.84,673.60M,-0.68%
"Apr 07, 2008",2364.83,2386.62,2390.04,2359.54,702.53M,-0.26%
"Apr 04, 2008",2370.98,2366.91,2391.93,2351.76,769.48M,0.32%
"Apr 03, 2008",2363.3,2347.91,2373.99,2339.38,781.17M,0.08%
"Apr 02, 2008",2361.4,2363.42,2381.21,2347.78,847.59M,-0.06%
"Apr 01, 2008",2362.75,2306.51,2362.75,2305.4,912.58M,3.67%
"Mar 31, 2008",2279.1,2265.15,2289.7,2260.59,783.53M,0.79%
"Mar 28, 2008",2261.18,2291.32,2304.71,2256.87,788.98M,-0.86%
"Mar 27, 2008",2280.83,2315.04,2315.91,2280.47,887.72M,-1.87%
"Mar 26, 2008",2324.36,2328.62,2331.18,2306.49,797.20M,-0.71%
"Mar 25, 2008",2341.05,2329.16,2346.78,2312.06,874.17M,0.61%
"Mar 24, 2008",2326.75,2268.2,2336.7,2268.2,950.86M,3.04%
"Mar 20, 2008",2258.11,2220.5,2258.11,2208.12,1.48B,2.18%
"Mar 19, 2008",2209.96,2272.12,2280.9,2209.96,964.16M,-2.57%
"Mar 18, 2008",2268.26,2215.61,2268.26,2206.81,1.06B,4.19%
"Mar 17, 2008",2177.01,2166.94,2200.53,2155.42,1.07B,-1.60%
"Mar 14, 2008",2212.49,2271.21,2277.11,2191.75,1.14B,-2.26%
"Mar 13, 2008",2263.61,2219.28,2272.55,2199.38,1.01B,0.88%
"Mar 12, 2008",2243.87,2259.97,2282.61,2241.38,878.26M,-0.53%
"Mar 11, 2008",2255.76,2209.65,2255.76,2192.5,1.02B,3.98%
"Mar 10, 2008",2169.34,2211.14,2216.89,2168.67,891.90M,-1.95%
"Mar 07, 2008",2212.49,2204.48,2242.5,2186.93,986.73M,-0.36%
"Mar 06, 2008",2220.5,2265.67,2272.2,2219.33,910.66M,-2.30%
"Mar 05, 2008",2272.81,2266.49,2290.01,2254.2,957.20M,0.55%
"Mar 04, 2008",2260.28,2244.21,2266.37,2221.09,1.14B,0.07%
"Mar 03, 2008",2258.6,2271.26,2275.75,2240.3,937.64M,-0.57%
"Feb 29, 2008",2271.48,2309.06,2311.23,2264.97,1.10B,-2.58%
"Feb 28, 2008",2331.57,2342.56,2352.88,2324.47,869.37M,-0.94%
"Feb 27, 2008",2353.78,2329.16,2363.52,2326.34,945.28M,0.37%
"Feb 26, 2008",2344.99,2314.42,2361.1,2311.32,1.00B,0.75%
"Feb 25, 2008",2327.48,2303.41,2333.71,2294.38,945.73M,1.05%
"Feb 22, 2008",2303.35,2306.61,2308.76,2265.36,962.09M,0.16%
"Feb 21, 2008",2299.78,2344.08,2353.79,2294.77,966.53M,-1.17%
"Feb 20, 2008",2327.1,2292.82,2331.7,2291.24,976.64M,0.91%
"Feb 19, 2008",2306.2,2348.98,2352.79,2300.1,831.05M,-0.67%
"Feb 15, 2008",2321.8,2320.58,2329.17,2305.81,889.97M,-0.46%
"Feb 14, 2008",2332.54,2376.22,2376.22,2328.59,940.50M,-1.74%
"Feb 13, 2008",2373.93,2347.22,2373.93,2338.91,956.17M,2.32%
"Feb 12, 2008",2320.04,2333.31,2349.55,2305.83,934.58M,-0.00%
"Feb 11, 2008",2320.06,2310.75,2326.23,2294.42,934.98M,0.66%
"Feb 08, 2008",2304.85,2290.5,2318.67,2280.27,965.35M,0.52%
"Feb 07, 2008",2293.03,2259.62,2318.52,2252.65,1.26B,0.63%
"Feb 06, 2008",2278.75,2327.18,2338.27,2277.27,1.07B,-1.33%
"Feb 05, 2008",2309.57,2344.81,2359.43,2309.57,1.08B,-3.08%
"Feb 04, 2008",2382.85,2413.42,2413.42,2382.09,919.78M,-1.26%
"Feb 01, 2008",2413.36,2392.58,2419.23,2374.5,1.34B,0.98%
"Jan 31, 2008",2389.86,2317.11,2403.46,2313.52,1.28B,1.74%
"Jan 30, 2008",2349,2346.36,2396,2343.88,1.12B,-0.38%
"Jan 29, 2008",2358.06,2360.43,2362.11,2332,972.92M,0.35%
"Jan 28, 2008",2349.91,2324.85,2349.91,2306.64,911.86M,1.02%
"Jan 25, 2008",2326.2,2402.8,2408.22,2322.56,1.18B,-1.47%
"Jan 24, 2008",2360.92,2328.86,2361.89,2326.37,1.32B,1.92%
"Jan 23, 2008",2316.41,2226.77,2320.13,2202.54,1.62B,1.05%
"Jan 22, 2008",2292.27,2221.2,2318.6,2221.2,1.53B,-2.04%
"Jan 18, 2008",2340.02,2365.56,2384.21,2323.29,1.40B,-0.29%
"Jan 17, 2008",2346.9,2405.74,2416.51,2343.65,1.26B,-1.99%
"Jan 16, 2008",2394.59,2390.56,2429.58,2361.22,1.52B,-0.95%
"Jan 15, 2008",2417.59,2449.04,2455.29,2412.47,1.08B,-2.45%
"Jan 14, 2008",2478.3,2470.87,2483.13,2455.34,925.05M,1.57%
"Jan 11, 2008",2439.94,2471.86,2473.95,2428.85,1.05B,-1.95%
"Jan 10, 2008",2488.52,2452.12,2503.55,2446.8,1.22B,0.56%
"Jan 09, 2008",2474.55,2443.85,2474.55,2407.39,1.25B,1.39%
"Jan 08, 2008",2440.51,2506.97,2527.42,2440.51,1.12B,-2.36%
"Jan 07, 2008",2499.46,2514.15,2521.62,2471.23,1.14B,-0.21%
"Jan 04, 2008",2504.65,2571.08,2571.08,2502.68,1.08B,-3.77%
"Jan 03, 2008",2602.68,2611.96,2624.27,2592.18,875.78M,-0.27%
"Jan 02, 2008",2609.63,2653.91,2661.5,2597.81,931.36M,-1.61%
